reg_condition	comparator	feature	n_subjects	mean_diff	sd	se	t	p	q_all_features_within_condition_comparator
down	adjacent_mean_passive	reg_putamen_L	33	113.03199055234563	698.0778658432566	121.51975856055022	0.9301531857144422	0.35925609137293085	0.6762467602313993
down	adjacent_mean_passive	sensory_S2_operculum_R	33	-62.774486260365435	439.7717159797128	76.55442947336331	-0.8199980940646611	0.41828341839042066	0.7096677613836994
down	adjacent_mean_passive	sensory_thalamus_L	33	-51.3497579502195	369.97905389634514	64.40508645498255	-0.7972935178980253	0.4311570975349702	0.7096677613836994
down	adjacent_mean_passive	sensory_insula_all_L	33	-56.283099467287315	447.8393124682855	77.95881775929047	-0.7219593765655838	0.47556237283382424	0.7096677613836994
down	adjacent_mean_passive	reg_dlPFC_IFJ_L	33	56.89477703003987	453.46210585605127	78.93762045215593	0.720756170557786	0.4762923340346274	0.7096677613836994
down	adjacent_mean_passive	reg_SMA_preSMA	33	56.33971753761524	461.18778230364705	80.28248809882554	0.7017684537661887	0.4878965859512933	0.7096677613836994
down	adjacent_mean_passive	expl_hippocampus_L	33	72.69933476145492	685.2577797677349	119.28806802737311	0.6094434754762945	0.5465337146154966	0.7603947333780823
down	adjacent_mean_passive	sensory_posterior_insula_L	33	-57.21169104023951	660.8115010836538	115.03251713720853	-0.49735233535747575	0.6223409296171507	0.8197519259894545
down	adjacent_mean_passive	reg_anterior_insula_R	33	-111.71303496933177	1360.8552558420677	236.8944930319786	-0.4715729502173422	0.6404311921792613	0.8197519259894545
down	adjacent_mean_passive	reg_PAG_sphere	33	-178.20291642285923	2629.3764096837835	457.7156820229617	-0.3893310267091079	0.6996102564732286	0.8610587771978199
down	adjacent_mean_passive	sensory_dACC_MCC	33	22.16754165062755	437.7776218289939	76.2073022378512	0.2908847446330047	0.7730165254273165	0.9161677338397824
down	adjacent_mean_passive	reg_vmPFC	33	-16.078271153449418	620.3566581320013	107.99023290412897	-0.14888634574687235	0.8825776499535429	0.9596443627971611
down	adjacent_mean_passive	sensory_thalamus_R	33	-6.342766841082825	306.4537935053624	53.34675803214495	-0.1188969503500267	0.9061002667933816	0.9596443627971611
down	adjacent_mean_passive	reg_pgACC_rACC	33	8.42303564230357	463.46329690873506	80.67860434737221	0.10440234694736533	0.9175016943456771	0.9596443627971611
down	adjacent_mean_passive	reg_vmPFC_mOFC	33	-7.480616454225249	482.9711381048967	84.07448361555603	-0.08897606185048437	0.9296554764597499	0.9596443627971611
down	adjacent_mean_passive	reg_mOFC	33	-0.2607061135904036	448.40111330213006	78.05661473156009	-0.0033399618275399548	0.9973558361828233	0.9973558361828233
down	nearest_passive	sensory_S2_operculum_L	32	-314.66429072354924	642.2939448302626	113.54260097613422	-2.7713324163649307	0.009354297235066871	0.2239556486584454
