effect	roi	family	behavior	n	pearson_r	pearson_p	spearman_rho	spearman_p	pearson_q_fdr	spearman_q_fdr
up_minus_down_FE	reg_NAc_L	targeted_regulatory_value	mean_reg_success_z	33	0.030413491451192473	0.8665720739168518	0.2667112299465241	0.1335128153138953	0.9988380750810398	0.49297039500515194
up_minus_down_FE	reg_NAc_L	targeted_regulatory_value	reg_success_z_up	33	0.18489042698109545	0.30297427001691335	0.3419117647058824	0.051469097911764426	0.7348997216935427	0.3839287482426241
up_minus_down_FE	reg_NAc_L	targeted_regulatory_value	reg_success_z_down	33	-0.1518365773361477	0.39894366673269277	-0.06918449197860962	0.7020392231895696	0.7348997216935427	0.914320598712857
up_minus_down_FE	reg_NAc_L	targeted_regulatory_value	success_asymmetry_z_up_minus_down	33	0.2695416942959415	0.1292845559729955	0.37065508021390375	0.03371657812650168	0.7233683267899599	0.3839287482426241
up_minus_down_FE	reg_NAc_L	targeted_regulatory_value	task_separation_rating_z_up_minus_down	33	0.0018823239077767765	0.9917051972838137	0.2800802139037434	0.11440871411412269	0.9988380750810398	0.4796444974151258
up_minus_down_FE	reg_NAc_L	targeted_regulatory_value	passive_sensory_slope_z	33	0.18437118513268458	0.3043580912120637	0.2540106951871658	0.1537426682027345	0.7348997216935427	0.5064625833221962
up_minus_down_FE	reg_NAc_L	targeted_regulatory_value	passive_withinrun_slope_z	33	-0.0141561270505447	0.9376777562558819	-0.007352941176470589	0.9676058377556672	0.9988380750810398	0.9985271540782654
up_minus_down_FE	reg_NAc_L	targeted_regulatory_value	passive_acrossrun_slope_z	33	0.3956046355488851	0.022678410297880126	0.11497326203208558	0.5240449377787748	0.24338564182586978	0.8080735079736439
up_minus_down_FE	reg_NAc_R	targeted_regulatory_value	mean_reg_success_z	33	0.03878719119032612	0.8303096047838258	0.3469251336898396	0.04792810194088925	0.9988380750810398	0.3839287482426241
up_minus_down_FE	reg_NAc_R	targeted_regulatory_value	reg_success_z_up	33	0.19106192723006948	0.2868318387532274	0.5147058823529412	0.002178801750137963	0.7348997216935427	0.20916496801324447
up_minus_down_FE	reg_NAc_R	targeted_regulatory_value	reg_success_z_down	33	-0.1449131326300147	0.42103629888692545	0.019385026737967916	0.9147298093091305	0.7348997216935427	0.9757117965964058
up_minus_down_FE	reg_NAc_R	targeted_regulatory_value	success_asymmetry_z_up_minus_down	33	0.269388398390534	0.12951099175283348	0.45788770053475936	0.007373225449125079	0.7233683267899599	0.23594321437200252
up_minus_down_FE	reg_NAc_R	targeted_regulatory_value	task_separation_rating_z_up_minus_down	33	0.01290689405501214	0.9431682149022338	0.4024064171122995	0.02025255872007992	0.9988380750810398	0.3839287482426241
up_minus_down_FE	reg_NAc_R	targeted_regulatory_value	passive_sensory_slope_z	33	0.19216331791542768	0.284010192744467	0.4595588235294118	0.007133713604321475	0.7348997216935427	0.23594321437200252
