subject	roi	roi_safe	beta_down	beta_passive	beta_up	up_minus_down	up_minus_passive	down_minus_passive	regulation_mean_minus_passive	target	family
sub-12	sensory_thalamus_L	sensory_thalamus_L	-67.88547016089296	-346.8171559142137	-297.549757284045	-229.664287123152	49.26739863016872	278.9316857533207	164.09954219174472	sensory_S1_S2_thalamus	sensory
sub-12	sensory_thalamus_R	sensory_thalamus_R	-191.9294012425877	-45.9048402647384	-500.0611591561549	-308.1317579135673	-454.1563188914165	-146.02456097784926	-300.09043993463285	sensory_S1_S2_thalamus	sensory
sub-13	expl_hypothalamus	expl_hypothalamus	302.829264270733	490.945434841848	-341.2800953699701	-644.1093596407031	-832.2255302118181	-188.116170571115	-510.17085039146656	sensory_S1_S2_thalamus	sensory
sub-13	sensory_S1_L	sensory_S1_L	-262.9196136198655	-193.4052065428955	694.156806588167	957.0764202080323	887.5620131310625	-69.51440707697	409.0238030270463	sensory_S1_S2_thalamus	sensory
sub-13	sensory_S1_R	sensory_S1_R	-61.33242736065127	349.7680014946262	987.2833202193276	1048.6157475799787	637.5153187247013	-411.1004288552775	113.20744493471187	sensory_S1_S2_thalamus	sensory
sub-13	sensory_S2_operculum_L	sensory_S2_operculum_L	129.5110982882219	6.831074802122439	199.16850116255964	69.65740287433775	192.3374263604372	122.68002348609944	157.50872492326835	sensory_S1_S2_thalamus	sensory
sub-13	sensory_S2_operculum_R	sensory_S2_operculum_R	391.057976631613	713.2367642239728	1019.9792863237708	628.9213096921578	306.74252209979795	-322.1787875923598	-7.718132746280958	sensory_S1_S2_thalamus	sensory
sub-13	sensory_thalamus_L	sensory_thalamus_L	69.81299931724445	-387.8869915402397	-470.69495331731696	-540.5079526345614	-82.80796177707725	457.6999908574842	187.44601454020344	sensory_S1_S2_thalamus	sensory
sub-13	sensory_thalamus_R	sensory_thalamus_R	-91.51775790797852	-149.24221885680265	138.6352663111875	230.15302421916604	287.87748516799013	57.72446094882412	172.80097305840712	sensory_S1_S2_thalamus	sensory
sub-14	expl_hypothalamus	expl_hypothalamus	-677.5534811914301	-370.00186205122753	386.88395051758937	1064.4374317090196	756.8858125688168	-307.5516191402026	224.66709671430715	sensory_S1_S2_thalamus	sensory
sub-14	sensory_S1_L	sensory_S1_L	-1001.2853772581184	-504.37104237110367	-11.231401577687755	990.0539756804308	493.139640793416	-496.9143348870147	-1.8873470467993911	sensory_S1_S2_thalamus	sensory
