subject	roi	roi_safe	beta_down	beta_passive	beta_up	up_minus_down	up_minus_passive	down_minus_passive	regulation_mean_minus_passive
sub-24	expl_hippocampus_L	expl_hippocampus_L	258.66870299813957	168.1938587648451	623.1168834067951	364.4481804086555	454.92302464194995	90.47484423329448	272.69893443762226
sub-24	expl_hippocampus_R	expl_hippocampus_R	-677.277534653584	-170.3655801417509	217.33262666876803	894.610161322352	387.69820681051897	-506.9119545118331	-59.60687385065705
sub-24	expl_hypothalamus	expl_hypothalamus	-201.3282002211804	92.87989569138007	-324.5956118454295	-123.26741162424912	-417.4755075368096	-294.20809591256045	-355.841801724685
sub-24	reg_NAc_L	reg_NAc_L	124.90670041686153	209.45801715842688	309.0479525214401	184.14125210457857	99.58993536301321	-84.55131674156536	7.519309310723912
sub-24	reg_NAc_R	reg_NAc_R	567.6345294001538	262.45517603886884	903.6043353934904	335.96980599333654	641.1491593546216	305.179353361285	473.1642563579532
sub-24	reg_PAG_sphere	reg_PAG_sphere	-5091.2671869695605	-547.6599702368309	2852.567109078696	7943.834296048257	3400.2270793155267	-4543.607216732729	-571.6900687086014
sub-24	reg_SMA_preSMA	reg_SMA_preSMA	-64.76617896681037	-140.91125498968134	22.55617438427864	87.32235335108902	163.46742937396	76.14507602287097	119.80625269841548
sub-24	reg_anterior_insula_L	reg_anterior_insula_L	734.596720734967	711.0873201959715	1070.376883462299	335.780162727332	359.2895632663275	23.509400538995465	191.39948190266148
sub-24	reg_anterior_insula_R	reg_anterior_insula_R	1585.2605991377052	811.6077325064379	-196.6647524383432	-1781.9253515760483	-1008.2724849447811	773.6528666312673	-117.30980915675684
sub-24	reg_caudate_L	reg_caudate_L	932.0293744284676	430.80867906199984	130.9510493938563	-801.0783250346112	-299.85762966814355	501.22069536646774	100.68153284916212
